800
56
25
81.0,705.0
24.0,504.0,26.0,693.0
26.0,693.0,103.0,774.0
103.0,774.0,298.0,777.0
298.0,777.0,653.0,753.0
653.0,753.0,749.0,631.0
749.0,631.0,777.0,291.0
777.0,291.0,699.0,51.0
699.0,51.0,107.0,45.0
107.0,45.0,42.0,144.0
42.0,144.0,24.0,504.0
85.0,658.0,124.0,698.0
124.0,698.0,609.0,675.0
715.0,279.0,645.0,105.0
645.0,105.0,119.0,77.0
119.0,77.0,118.0,147.0
118.0,147.0,77.0,145.0
38.0,201.0,84.0,203.0
106.0,266.0,66.0,260.0
35.0,319.0,69.0,318.0
200.0,759.0,218.0,727.0
218.0,727.0,246.0,760.0
246.0,760.0,200.0,759.0
292.0,691.0,333.0,719.0
333.0,719.0,367.0,685.0
396.0,765.0,414.0,718.0
414.0,718.0,448.0,706.0
448.0,706.0,495.0,732.0
495.0,732.0,516.0,759.0
715.0,279.0,727.0,517.0
451.0,47.0,465.0,64.0
118.0,147.0,106.0,266.0
106.0,266.0,94.0,410.0
85.0,658.0,87.0,477.0
609.0,675.0,710.0,607.0
710.0,607.0,715.0,557.0
715.0,557.0,87.0,477.0
94.0,410.0,727.0,517.0
340.0,87.0,311.0,71.0
221.0,489.0,246.0,465.0
246.0,465.0,289.0,502.0
283.0,441.0,331.0,483.0
331.0,483.0,397.0,460.0
469.0,525.0,526.0,504.0
526.0,504.0,595.0,539.0
609.0,675.0,643.0,691.0
94.0,410.0,178.0,454.0
178.0,454.0,283.0,441.0
465.0,64.0,531.0,50.0
311.0,71.0,213.0,82.0
645.0,105.0,668.0,80.0
66.0,260.0,108.0,254.0
69.0,318.0,35.0,305.0
84.0,203.0,39.0,190.0
77.0,145.0,119.0,136.0
87.0,477.0,60.0,432.0
60.0,432.0,84.0,552.0
124.0,698.0,103.0,774.0
292.0,691.0,298.0,777.0
448.0,706.0,447.0,684.0
609.0,675.0,653.0,753.0
749.0,631.0,609.0,675.0
727.0,517.0,757.0,524.0
715.0,279.0,777.0,291.0
676.0,73.0,699.0,51.0
77.0,145.0,42.0,144.0
69.0,318.0,97.0,319.0
451.0,96.0,451.0,48.0
339.0,85.0,336.0,47.0
119.0,77.0,107.0,45.0
218.0,727.0,216.0,696.0
26.0,693.0,85.0,658.0
219.0,493.0,226.0,434.0
87.0,477.0,94.0,410.0
601.0,500.0,601.0,537.0
442.0,520.0,444.0,469.0
715.0,557.0,727.0,517.0
721.0,396.0,768.0,401.0
66.0,260.0,36.0,258.0
84.0,203.0,112.0,207.0
94.0,410.0,30.0,407.0
84.0,552.0,27.0,546.0
