800
48
19
161.0,748.0
12.0,479.0,41.0,710.0
41.0,710.0,176.0,783.0
176.0,783.0,730.0,760.0
730.0,760.0,789.0,496.0
789.0,496.0,735.0,436.0
735.0,436.0,786.0,339.0
786.0,339.0,700.0,277.0
700.0,277.0,761.0,163.0
761.0,163.0,646.0,91.0
646.0,91.0,123.0,190.0
123.0,190.0,209.0,263.0
209.0,263.0,108.0,344.0
108.0,344.0,212.0,438.0
212.0,438.0,12.0,479.0
272.0,460.0,55.0,503.0
55.0,503.0,77.0,681.0
77.0,681.0,185.0,737.0
185.0,737.0,692.0,721.0
692.0,721.0,744.0,508.0
744.0,508.0,682.0,442.0
682.0,442.0,738.0,348.0
738.0,348.0,651.0,287.0
651.0,287.0,713.0,170.0
713.0,170.0,578.0,133.0
578.0,133.0,196.0,199.0
196.0,199.0,279.0,273.0
279.0,273.0,183.0,347.0
183.0,347.0,272.0,460.0
241.0,780.0,310.0,758.0
310.0,758.0,380.0,775.0
379.0,732.0,442.0,751.0
442.0,751.0,504.0,729.0
532.0,766.0,605.0,745.0
605.0,745.0,675.0,760.0
20.0,534.0,46.0,599.0
46.0,599.0,37.0,668.0
97.0,493.0,200.0,458.0
200.0,458.0,272.0,460.0
183.0,347.0,204.0,298.0
204.0,298.0,279.0,273.0
578.0,133.0,637.0,113.0
637.0,113.0,713.0,170.0
703.0,665.0,744.0,595.0
744.0,595.0,736.0,546.0
401.0,164.0,256.0,180.0
256.0,180.0,196.0,199.0
41.0,710.0,122.0,728.0
122.0,728.0,176.0,783.0
55.0,503.0,12.0,479.0
212.0,438.0,272.0,460.0
108.0,344.0,183.0,347.0
209.0,263.0,279.0,273.0
578.0,133.0,646.0,91.0
713.0,170.0,761.0,163.0
700.0,277.0,651.0,287.0
738.0,348.0,786.0,339.0
735.0,436.0,682.0,442.0
744.0,508.0,789.0,496.0
730.0,760.0,692.0,721.0
176.0,783.0,185.0,737.0
41.0,710.0,77.0,681.0
442.0,751.0,445.0,775.0
310.0,758.0,310.0,735.0
605.0,745.0,602.0,722.0
744.0,595.0,763.0,597.0
196.0,199.0,123.0,190.0
256.0,180.0,250.0,164.0
